Image,Method,Total_Detections,Avg_Conf,TP,FP,GT_Count
04018.png,IR,2,0.835742324590683,2,0,2
04026.png,IR,2,0.8028088212013245,2,0,2
04053.png,IR,6,0.7754400173823038,6,0,6
04092.png,IR,4,0.8834500014781952,4,0,4
04160.png,IR,3,0.7140476504961649,2,1,8
00000.png,VI,8,0.5775693655014038,7,1,9
00011.png,VI,8,0.6849800124764442,7,1,9
00025.png,VI,7,0.68027349455016,6,1,7
00031.png,VI,7,0.7640613870961326,7,0,8
00033.png,VI,9,0.6833067735036215,8,1,10
00042.png,VI,9,0.62647059890959,7,2,7
00061.png,VI,6,0.5864628354708353,4,2,5
00071.png,VI,4,0.573903039097786,3,1,3
00082.png,VI,2,0.6960103064775467,2,0,3
00097.png,VI,2,0.6015876531600952,2,0,2
00107.png,VI,3,0.5181049009164175,2,1,3
00112.png,VI,11,0.5382837436415933,8,3,14
00118.png,VI,7,0.4681915896279471,5,2,9
00147.png,VI,17,0.6404261483865625,14,3,16
00149.png,VI,6,0.7934444497028986,5,1,6
00150.png,VI,8,0.7390529066324234,7,1,8
00159.png,VI,10,0.645307657122612,7,3,8
00177.png,VI,9,0.7529748744434781,9,0,10
00196.png,VI,8,0.5559744499623775,7,1,10
00202.png,VI,9,0.5036358932654063,9,0,10
00210.png,VI,5,0.7572922229766845,5,0,6
00215.png,VI,5,0.6864957094192505,4,1,4
00232.png,VI,9,0.5488983922534518,3,6,6
00242.png,VI,7,0.5779475612299783,6,1,7
00255.png,VI,2,0.7856622040271759,1,1,1
00274.png,VI,3,0.5309486786524454,1,2,2
00284.png,VI,5,0.5519649386405945,2,3,2
00290.png,VI,5,0.6698029279708863,2,3,2
00306.png,VI,4,0.7353428304195404,2,2,2
00320.png,VI,4,0.6753438860177994,2,2,2
00325.png,VI,2,0.4378773868083954,0,2,1
00334.png,VI,0,0.0,0,0,1
00339.png,VI,0,0.0,0,0,0
00349.png,VI,1,0.7370129823684692,1,0,1
00353.png,VI,1,0.6812399625778198,1,0,1
00370.png,VI,1,0.46039578318595886,1,0,1
00385.png,VI,1,0.8969786763191223,1,0,1
00386.png,VI,4,0.5548021346330643,4,0,7
00388.png,VI,2,0.3118482530117035,0,2,11
00389.png,VI,4,0.46349305659532547,1,3,8
00390.png,VI,10,0.4696392387151718,4,6,7
00400.png,VI,2,0.5328823029994965,1,1,5
00405.png,VI,6,0.6149893204371134,5,1,11
00409.png,VI,2,0.6273340284824371,1,1,8
00419.png,VI,2,0.905228316783905,2,0,2
00421.png,VI,4,0.8014378696680069,4,0,8
00434.png,VI,8,0.4655681177973747,6,2,11
00441.png,VI,2,0.6693803519010544,2,0,9
00443.png,VI,7,0.7030356739248548,4,3,4
00449.png,VI,6,0.5374043534199396,2,4,6
00453.png,VI,4,0.40174059569835663,0,4,4
00461.png,VI,3,0.2909756700197856,1,2,4
00479.png,VI,1,0.6060131192207336,1,0,4
00489.png,VI,3,0.8816796143849691,3,0,5
00497.png,VI,4,0.5578077360987663,2,2,6
00512.png,VI,7,0.45904940366744995,2,5,6
00525.png,VI,5,0.6376590132713318,3,2,6
00527.png,VI,7,0.47421962874276297,3,4,7
00537.png,VI,9,0.48853908644782174,6,3,10
00555.png,VI,10,0.46530829668045043,6,4,9
00572.png,VI,11,0.48492302948778326,10,1,11
00587.png,VI,10,0.4741397529840469,5,5,7
00606.png,VI,8,0.6595157161355019,6,2,7
00621.png,VI,5,0.5244949281215667,4,1,7
00633.png,VI,6,0.6237886299689611,5,1,7
00643.png,VI,1,0.3588446080684662,1,0,1
00652.png,VI,4,0.37532275170087814,2,2,2
00653.png,VI,1,0.502856433391571,0,1,2
00661.png,VI,3,0.8602638840675354,3,0,3
00671.png,VI,3,0.857798715432485,3,0,5
00676.png,VI,4,0.8025362193584442,4,0,4
00677.png,VI,5,0.49474394917488096,2,3,6
00687.png,VI,6,0.4312003602584203,2,4,7
00697.png,VI,6,0.5517544796069463,4,2,6
00712.png,VI,0,0.0,0,0,1
00716.png,VI,0,0.0,0,0,1
00719.png,VI,0,0.0,0,0,0
00725.png,VI,1,0.9209482073783875,1,0,1
00726.png,VI,1,0.927348792552948,1,0,1
00738.png,VI,5,0.4723343074321747,1,4,1
00760.png,VI,0,0.0,0,0,1
00762.png,VI,1,0.9031429886817932,1,0,1
00769.png,VI,0,0.0,0,0,0
00787.png,VI,1,0.7029183506965637,1,0,2
00800.png,VI,0,0.0,0,0,0
00801.png,VI,2,0.6213433742523193,1,1,2
00805.png,VI,2,0.5769552290439606,2,0,3
00818.png,VI,1,0.8074172139167786,1,0,1
00825.png,VI,4,0.8527245372533798,3,1,3
00826.png,VI,3,0.7381852666536967,3,0,3
00829.png,VI,3,0.7593535582224528,3,0,4
00834.png,VI,4,0.5833771452307701,2,2,3
00857.png,VI,3,0.34906473755836487,1,2,2
00867.png,VI,1,0.6762920618057251,1,0,2
00871.png,VI,2,0.5175344496965408,1,1,3
00878.png,VI,2,0.5817873924970627,1,1,3
00896.png,VI,1,0.3758706748485565,0,1,2
00910.png,VI,0,0.0,0,0,2
00916.png,VI,0,0.0,0,0,2
00922.png,VI,1,0.26944029331207275,0,1,2
00926.png,VI,0,0.0,0,0,2
00950.png,VI,1,0.9048084616661072,1,0,3
00958.png,VI,1,0.3147486448287964,0,1,3
00965.png,VI,0,0.0,0,0,3
00976.png,VI,9,0.6609350343545278,8,1,9
00994.png,VI,8,0.494575809687376,4,4,5
01017.png,VI,4,0.6887555420398712,3,1,3
01034.png,VI,1,0.7275041937828064,1,0,5
01043.png,VI,5,0.5976993620395661,4,1,5
01079.png,VI,0,0.0,0,0,0
01093.png,VI,5,0.7603678584098816,5,0,5
01101.png,VI,6,0.6104182501633962,5,1,5
01115.png,VI,2,0.6109036505222321,1,1,4
01122.png,VI,4,0.5119786784052849,2,2,3
01136.png,VI,2,0.7558710873126984,2,0,2
